08.12 CB CARREFOURMARKET 06/12/16 08.12.16, ,18.14, , ,8/12/2016
08.12 CB CARREFMARKETDAC 06/12/16 08.12.16, ,44.58, , ,8/12/2016
08.12 CB GGE ST GEORGES 07/12/16 08.12.16, ,8.5, , ,8/12/2016
08.12 CB Sapn 2911-0512 01/12/16 08.12.16, ,8, , ,8/12/2016
09.12 CB LOMMIS ALINE 08/12/16 09.12.16, ,7.7, , ,9/12/2016
09.12 CB CARREFOURMARKET 07/12/16 09.12.16, ,24.5, , ,9/12/2016
09.12 PRLV SEPA SFR 09.12.16, ,35.34, , ,9/12/2016
12.12 CB KFC FRANCE 11/12/16 12.12.16, ,13.8, , ,12/12/2016
12.12 CB CARREFOURMARKET 09/12/16 12.12.16, ,27.23, , ,12/12/2016
12.12 CB NO STRESS CAFE 11/12/16 12.12.16, ,17, , ,12/12/2016
12.12 CB BOUIGAGANE 10/12/16 12.12.16, ,19.01, , ,12/12/2016
12.12 CB BF MARLY 015 09/12/16 12.12.16, ,18.6, , ,12/12/2016
14.12 CB IL ETAIT UN SQUA 12/12/16 14.12.16, ,16, , ,14/12/2016
14.12 CB CARREFOURMARKET 12/12/16 14.12.16, ,33.76, , ,14/12/2016
14.12 CB BP ROCQUENCOURT 13/12/16 14.12.16, ,43.79, , ,14/12/2016
15.12 CB RETRAIT DU 14/12 PARIS CORVISART 15.12.16, ,40, , ,15/12/2016
15.12 CB CARREFOURMARKET 13/12/16 15.12.16, ,14.47, , ,15/12/2016
15.12 CB Burger King 14/12/16 15.12.16, ,14.3, , ,15/12/2016
15.12 CB LE CAFE DES ARTS 14/12/16 15.12.16, ,13, , ,15/12/2016
15.12 CB LE PETIT CAFE 14/12/16 15.12.16, ,33.7, , ,15/12/2016
16.12 CB WOK LIN 15/12/16 16.12.16, ,15.8, , ,16/12/2016
16.12 CB CASTORAMA 15/12/16 16.12.16, ,9.8, , ,16/12/2016
16.12 VIREMENT RECU 16.12.16, ,             2 380.98, , ,16/12/2016
19.12 CB CARREFOUR CITY 17/12/16 19.12.16, ,21.53, , ,19/12/2016
19.12 CB ILE AUX SINGES 16/12/16 19.12.16, ,23.5, , ,19/12/2016
19.12 CB SARL OEL 18/12/16 19.12.16, ,13.95, , ,19/12/2016
19.12 CB LE TEMPS DES CE 17/12/16 19.12.16, ,24, , ,19/12/2016
19.12 CB CARREFOURMARKET 16/12/16 19.12.16, ,12.08, , ,19/12/2016
19.12 VIREMENT CityA 19.12.16, ,321.43, , ,19/12/2016
20.12 CB DELIVEROOFR 18/12/16 20.12.16, ,16.4, , ,20/12/2016
20.12 CB AMIRAL CHICKEN 19/12/16 20.12.16, ,14, , ,20/12/2016
21.12 CB NO STRESS CAFE 20/12/16 21.12.16, ,34, , ,21/12/2016
21.12 CB ARRET GALETTE 20/12/16 21.12.16, ,15, , ,21/12/2016
21.12 CB CARREFOURMARKET 19/12/16 21.12.16, ,19.6, , ,21/12/2016
23.12 CB RETRAIT DU 22/12 PARIS CORVISART 23.12.16, ,80, , ,23/12/2016
23.12 CB LOMMIS ALINE 22/12/16 23.12.16, ,7.7, , ,23/12/2016
23.12 CB CARREFMARKETDAC 21/12/16 23.12.16, ,43.85, , ,23/12/2016
23.12 CB GIRASOLE DUE 22/12/16 23.12.16, ,12.15, , ,23/12/2016
26.12 CB ARRET GALETTE 22/12/16 26.12.16, ,15, , ,26/12/2016
26.12 CB RATP 23/12/16 26.12.16, ,10, , ,26/12/2016
26.12 CB DELIVEROOFR 21/12/16 26.12.16, ,19, , ,26/12/2016
27.12 COTISATION MENSUELLE CARTE 4162 28.12.16, ,                 3.55                    ., , ,27/12/2016
29.12 LCL A LA CARTE 29.12.16, ,0.25, , ,29/12/2016
29.12 PRLV SEPA SFR FIXE ADSL 29.12.16, ,55.01, , ,29/12/2016
30.12 CB AMAZON PAYMENTS 27/12/16 30.12.16, ,14.94, , ,30/12/2016
30.12 CB AMAZON PAYMENTS 28/12/16 30.12.16, ,16.17, , ,30/12/2016
2, ,1 CB RETRAIT DU 28/12/16 ATM ALPH 02.01.17               180.00, , ,2/1/2016
3, ,1 CB SNCF 02/01/17 03.01.17                10.00, , ,3/1/2016
4, ,1 CB SUPER U 03/01/17 04.01.17                28.18, , ,4/1/2016
4, ,1 CB ILE AUX SINGES 03/01/17 04.01.17                26.50, , ,4/1/2016
4, ,1 CB IL ETAIT UN SQUA 02/01/17 04.01.17                16.00, , ,4/1/2016
4, ,1 CB BF MARLY 015 03/01/17 04.01.17                14.95, , ,4/1/2016
4, ,1 VIREMENT ADIDOR VOITURES 04.01.17             2 500.00, , ,4/1/2016
6, ,1 CB RETRAIT DU 05/01 PARIS CORVISART 06.01.17                30.00, , ,6/1/2016
6, ,1 CB CARREFOURMARKET 04/01/17 06.01.17                11.56, , ,6/1/2016
6, ,1 CB WOK LIN 05/01/17 06.01.17                15.80, , ,6/1/2016
